"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Sep 2019",210.684268685603,156.356217033109,265.012320338097,127.596683720678,293.771853650528
"Oct 2019",211.08312150693,156.397862827168,265.768380186693,127.449235536806,294.717007477055
"Nov 2019",211.473829139421,156.43366711959,266.513991159252,127.297165349638,295.650492929205
"Dec 2019",211.856557920375,156.463752262522,267.249363578229,127.140572226984,296.572543613766
"Jan 2020",212.231470790228,156.488238596732,267.974702983724,126.979553958713,297.483387621743
"Feb 2020",212.59872736192,156.507244460546,268.690210263294,126.814207033689,298.383247690151
"Mar 2020",212.958483988851,156.520886200713,269.396081776988,126.644626620419,299.272341357282
"Apr 2020",213.310893831442,156.529278185005,270.092509477878,126.470906551087,300.150881111796
"May 2020",213.656106922343,156.532532816379,270.779681028307,126.293139308694,301.019074535992
"Jun 2020",213.994270230307,156.530760548536,271.457779912079,126.11141601704,301.877124443575
"Jul 2020",214.325527722759,156.524069902725,272.126985542792,125.925826433303,302.725229012215
"Aug 2020",214.650020427085,156.512567485661,272.787473368508,125.736458942994,303.563581911175
"Sep 2020",214.967886490676,156.496358008429,273.439414972923,125.543400557086,304.392372424266
"Oct 2020",215.279261239742,156.475544306256,274.082978173228,125.346736911122,305.211785568362
"Nov 2020",215.584277236921,156.450227359062,274.71832711478,125.146552266138,306.022002207704
"Dec 2020",215.88306433772,156.420506312673,275.345622362767,124.942929511237,306.823199164202
"Jan 2021",216.175749745794,156.386478500623,275.965020990965,124.735950167669,307.615549323919
"Feb 2021",216.462458067106,156.348239466468,276.576676667745,124.525694394276,308.399221739936
"Mar 2021",216.743311362972,156.305882986516,277.180739739429,124.312240994192,309.174381731753
"Apr 2021",217.018429202029,156.25950109294,277.777357311118,124.095667422664,309.941190981394
"May 2021",217.287928711136,156.209184097179,278.366673325092,123.876049795907,310.699807626364
"Jun 2021",217.551924625243,156.155020613598,278.948828636888,123.653462900881,311.450386349605
"Jul 2021",217.810529336236,156.097097583331,279.523961089141,123.427980205907,312.193078466566
"Aug 2021",218.063852940785,156.035500298282,280.092205583288,123.199673872038,312.928032009532
"Sep 2021",218.312003287216,155.970312425224,280.653694149207,122.968614765109,313.655391809323
"Oct 2021",218.555086021426,155.901616029971,281.208556012881,122.734872468389,314.375299574464
"Nov 2021",218.793204631862,155.829491601569,281.756917662154,122.498515295778,315.087893967945
"Dec 2021",219.026460493574,155.754018076494,282.298902910655,122.259610305488,315.793310681661
